playerId,season,name,team,position,games_played,icetime,GoalsSavedAbvExp,xGoals,goals,ReboundsAbvExp,XPlayConAbvExp,lowDangerGoalAbvExp,medDangerGoalAbvExp,highDangerGoalAbvExp,penalityMinutes
8474593,2020,Jacob Markstrom,CGY,G,43,149193,-9.26,101.74,111,17.75,156.49,0.51,-5.87,-3.89,2
8478492,2022,Ilya Samsonov,TOR,G,42,148536,18.05,114.05,96,-30.55,74.32,-11.66,15.55,14.15,0
8474596,2022,Jake Allen,MTL,G,42,147025,-1.93,143.07,145,-29.59,112.8,0.42,-7.79,5.45,2
8476412,2020,Jordan Binnington,STL,G,42,146860,0.08,108.08,108,-23.2,172.48,-1.03,-2.77,3.87,2
8478406,2023,Mackenzie Blackwood,SJS,G,44,146228,2.45,142.45,140,-47.01,60.14,-7.13,-6.87,16.45,2
8478470,2023,Sam Montembeault,MTL,G,41,145726,3.34,130.34,127,-57.3,62.26,-5.5,-9.53,18.37,0
8476999,2023,Linus Ullmark,BOS,G,40,144008,14.75,117.75,103,-36.2,31.26,4.94,7.7,2.11,2
8480280,2021,Jeremy Swayman,BOS,G,41,143414,4.15,100.15,96,10.62,139.62,1.58,1.76,0.8,6
8481611,2023,Pyotr Kochetkov,CAR,G,42,142289,0.68,92.68,92,-33.26,79.14,-6.95,-1.66,9.29,8
8475831,2020,Philipp Grubauer,COL,G,40,142008,5.24,82.24,77,-12.69,172.23,-2.71,0.3,7.64,0
8478492,2021,Ilya Samsonov,WSH,G,44,141678,-12.06,106.94,119,-24.66,142.83,-8.87,-0.17,-3.03,0
8478024,2021,Ville Husso,STL,G,40,140474,13.54,113.54,100,-5.58,143.83,0.03,8.5,5.01,0
8478470,2022,Sam Montembeault,MTL,G,40,140031,11.85,144.85,133,-55.62,92.31,4.22,-3.53,11.17,0
8476999,2021,Linus Ullmark,BOS,G,41,139826,5.69,100.69,95,-3.06,151.45,0.24,6.32,-0.88,4
8480843,2023,Lukas Dostal,ANA,G,44,139369,-5.27,123.73,129,-29.68,52.03,1.68,-14.04,7.1,8
8477970,2021,Vitek Vanecek,WSH,G,42,139043,-5.36,97.64,103,-2.02,108.8,-2.55,0.53,-3.34,0
8479406,2022,Filip Gustavsson,MIN,G,39,138656,24.16,105.16,81,-21.62,125.48,10.21,6.92,7.03,0
8478492,2023,Ilya Samsonov,TOR,G,40,138058,-8.14,111.86,120,-42.97,23.89,-9.73,-8.03,9.63,0
8478007,2023,Elvis Merzlikins,CBJ,G,41,135520,-6.35,123.65,130,-62.88,52.78,-10.05,-6.73,10.44,4
8471734,2022,Jonathan Quick,VGK,G,41,134085,-17.17,109.83,127,-28.67,100.93,-13.38,-10.3,6.51,4
8470594,2023,Marc-Andre Fleury,MIN,G,40,133960,-11.11,99.89,111,-6.09,56.75,-11.99,-1.75,2.62,4
8477465,2020,Tristan Jarry,PIT,G,39,131118,-11.76,88.24,100,4.12,141.63,-4.2,-2.76,-4.79,8
8477361,2021,Cal Petersen,LAK,G,37,130590,-8.38,96.62,105,-10.08,157.65,-5.11,-8.92,5.65,2
8480947,2020,Kevin Lankinen,CHI,G,37,130489,-14.29,94.71,109,-9.31,137.06,-5.32,1.45,-10.43,2
8476914,2022,Joonas Korpisalo,LAK,G,39,130317,12.74,116.74,104,-30.22,152.92,-1.63,9.23,5.14,0
8480313,2022,Logan Thompson,VGK,G,37,130282,0.08,96.08,96,-18.56,130.93,2.49,-2.85,0.42,2
8475852,2022,Petr Mrazek,CHI,G,39,129910,-6.31,125.69,132,-39.65,84,-13.95,4.6,3.04,4
8470594,2020,Marc-Andre Fleury,VGK,G,36,128796,17.92,88.92,71,-27.94,97.69,9.09,0.91,7.92,2
8476412,2021,Jordan Binnington,STL,G,37,128697,-8.2,103.8,112,-17.67,151.31,-6.95,-1.25,0,4
8473575,2020,Semyon Varlamov,NYI,G,36,127016,2.69,74.69,72,5.71,108.16,4.03,-2.24,0.9,2
